#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DRG1	RPL17	9606.ENSP00000329715	9606.ENSP00000397798	0	0	0.203	0	0.341	0.108	0	0	0.491
DRG1	RPL9	9606.ENSP00000329715	9606.ENSP00000400467	0	0	0.263	0	0.323	0	0	0.062	0.491
DRG1	EIF4G1	9606.ENSP00000329715	9606.ENSP00000416255	0	0	0	0	0.199	0.380	0	0.062	0.493
DRG1	EIF2S3L	9606.ENSP00000329715	9606.ENSP00000445077	0	0	0.352	0	0.449	0	0	0.066	0.637
DRG1	ETF1	9606.ENSP00000329715	9606.ENSP00000353741	0	0	0	0	0.641	0	0	0.067	0.651
DRG1	MCTS1	9606.ENSP00000329715	9606.ENSP00000360365	0	0	0	0	0.665	0	0	0.047	0.668
DRG1	HSPA14	9606.ENSP00000329715	9606.ENSP00000367623	0	0	0	0	0.690	0.103	0	0.042	0.711
DRG1	RWDD1	9606.ENSP00000329715	9606.ENSP00000420357	0	0	0	0	0.179	0.945	0	0.881	0.994
DRG1	ZC3H15	9606.ENSP00000329715	9606.ENSP00000338788	0	0	0	0	0.862	0.991	0	0.911	0.999
DRG2	RPL18A	9606.ENSP00000225729	9606.ENSP00000222247	0	0	0	0	0.521	0	0	0.043	0.522
DRG2	RPL19	9606.ENSP00000225729	9606.ENSP00000225430	0	0	0.274	0	0.429	0	0	0	0.567
DRG2	EIF3B	9606.ENSP00000225729	9606.ENSP00000354125	0	0	0	0	0.404	0	0	0	0.404
DRG2	RPL35A	9606.ENSP00000225729	9606.ENSP00000419117	0	0	0	0	0.397	0	0	0.101	0.435
DRG2	EIF2S3L	9606.ENSP00000225729	9606.ENSP00000445077	0	0	0.343	0	0.165	0	0	0.066	0.442
DRG2	RPL11	9606.ENSP00000225729	9606.ENSP00000363676	0	0	0	0	0.444	0	0	0	0.444
DRG2	RPS16	9606.ENSP00000225729	9606.ENSP00000251453	0	0	0	0	0.455	0	0	0	0.455
DRG2	RPL10A	9606.ENSP00000225729	9606.ENSP00000363018	0	0	0	0	0.456	0	0	0	0.456
DRG2	RPSA	9606.ENSP00000225729	9606.ENSP00000346067	0	0	0	0	0.461	0.056	0	0	0.469
DRG2	RPS23	9606.ENSP00000225729	9606.ENSP00000296674	0	0	0.247	0	0.345	0	0	0	0.486
DRG2	ETF1	9606.ENSP00000225729	9606.ENSP00000353741	0	0	0	0	0.388	0	0	0.223	0.504
DRG2	RPL6	9606.ENSP00000225729	9606.ENSP00000403172	0	0	0	0	0.514	0	0	0.041	0.514
DRG2	RPL26	9606.ENSP00000225729	9606.ENSP00000463784	0	0	0	0	0.515	0	0	0	0.515
DRG2	RPS26	9606.ENSP00000225729	9606.ENSP00000348849	0	0	0	0	0.517	0	0	0	0.517
DRG2	RPL17	9606.ENSP00000225729	9606.ENSP00000397798	0	0	0	0	0.512	0.069	0	0	0.526
DRG2	EIF2S1	9606.ENSP00000225729	9606.ENSP00000256383	0	0	0	0	0.533	0	0	0	0.533
DRG2	RPLP0	9606.ENSP00000225729	9606.ENSP00000449328	0	0	0	0	0.542	0	0	0	0.542
DRG2	DRG1	9606.ENSP00000225729	9606.ENSP00000329715	0	0	0.409	0.955	0.301	0.344	0	0.968	0.550
DRG2	EIF2S3	9606.ENSP00000225729	9606.ENSP00000253039	0	0	0.344	0	0.367	0	0	0.066	0.578
DRG2	RPS12	9606.ENSP00000225729	9606.ENSP00000230050	0	0	0	0	0.622	0	0	0	0.622
DRG2	RPL15	9606.ENSP00000225729	9606.ENSP00000309334	0	0	0.251	0	0.532	0	0	0	0.634
DRG2	RPL9	9606.ENSP00000225729	9606.ENSP00000400467	0	0	0.313	0	0.524	0	0	0	0.659
DRG2	RPS11	9606.ENSP00000225729	9606.ENSP00000270625	0	0	0.225	0	0.587	0	0	0	0.666
DRG2	RPL8	9606.ENSP00000225729	9606.ENSP00000262584	0	0	0.242	0	0.540	0	0	0.414	0.778
DRG2	ZC3H15	9606.ENSP00000225729	9606.ENSP00000338788	0	0	0	0	0.390	0.562	0	0.908	0.973
DRG2	RWDD1	9606.ENSP00000225729	9606.ENSP00000420357	0	0	0	0	0.166	0.985	0	0.972	0.999
EIF2B2	EIF5	9606.ENSP00000266126	9606.ENSP00000216554	0	0	0	0	0.132	0.520	0	0.588	0.813
EIF2B2	EIF3E	9606.ENSP00000266126	9606.ENSP00000220849	0	0	0	0	0.223	0	0	0.260	0.401
EIF2B2	EIF3K	9606.ENSP00000266126	9606.ENSP00000248342	0	0	0	0	0.105	0.129	0	0.359	0.457
EIF2B2	EIF2S3	9606.ENSP00000266126	9606.ENSP00000253039	0	0	0	0	0.313	0.987	0.600	0.831	0.999
EIF2B2	EIF3G	9606.ENSP00000266126	9606.ENSP00000253108	0	0	0	0	0.266	0	0	0.329	0.487
EIF2B2	EIF2S1	9606.ENSP00000266126	9606.ENSP00000256383	0	0	0	0	0.238	0.995	0.900	0.895	0.999
EIF2B2	EIF3L	9606.ENSP00000266126	9606.ENSP00000485663	0	0	0	0	0.174	0	0	0.309	0.405
EIF2B2	EIF4G1	9606.ENSP00000266126	9606.ENSP00000416255	0	0	0	0	0.071	0.105	0	0.376	0.437
EIF2B2	EIF3M	9606.ENSP00000266126	9606.ENSP00000436049	0	0	0	0	0.318	0	0	0.208	0.438
EIF2B2	EIF4A1	9606.ENSP00000266126	9606.ENSP00000293831	0	0	0	0	0.144	0.089	0	0.397	0.489
EIF2B2	ETF1	9606.ENSP00000266126	9606.ENSP00000353741	0	0	0	0	0.329	0	0	0.303	0.512
EIF2B2	EIF3B	9606.ENSP00000266126	9606.ENSP00000354125	0	0	0	0	0.287	0	0	0.359	0.523
EIF2B2	EIF4A2	9606.ENSP00000266126	9606.ENSP00000326381	0	0	0	0	0	0.089	0	0.607	0.627
EIF2B2	EIF3I	9606.ENSP00000266126	9606.ENSP00000362688	0	0	0	0	0.348	0.056	0	0.442	0.627
EIF2B2	EIF3F	9606.ENSP00000266126	9606.ENSP00000431800	0	0.499	0	0	0.236	0	0	0.189	0.663
EIF2B2	EIF2S3L	9606.ENSP00000266126	9606.ENSP00000445077	0	0	0	0	0.165	0.770	0	0.537	0.903
EIF2B2	EIF2S2	9606.ENSP00000266126	9606.ENSP00000364119	0	0	0	0	0.234	0.956	0.600	0.797	0.996
EIF2B2	EIF2B3	9606.ENSP00000266126	9606.ENSP00000353575	0	0	0	0	0.163	0.995	0.900	0.940	0.999
EIF2B2	EIF2B5	9606.ENSP00000266126	9606.ENSP00000273783	0	0	0	0	0.168	0.995	0.900	0.963	0.999
EIF2B3	EIF3D	9606.ENSP00000353575	9606.ENSP00000216190	0	0	0	0	0.466	0	0	0.309	0.616
EIF2B3	EIF5	9606.ENSP00000353575	9606.ENSP00000216554	0	0	0	0	0.115	0.343	0	0.711	0.817
EIF2B3	EIF3E	9606.ENSP00000353575	9606.ENSP00000220849	0	0	0	0	0.190	0	0	0.341	0.444
EIF2B3	EIF2S3	9606.ENSP00000353575	9606.ENSP00000253039	0	0	0	0	0.260	0.955	0.600	0.916	0.998
EIF2B3	EIF3G	9606.ENSP00000353575	9606.ENSP00000253108	0	0	0	0	0.127	0	0	0.463	0.511
EIF2B3	EIF2S1	9606.ENSP00000353575	9606.ENSP00000256383	0	0	0	0	0.288	0.988	0.900	0.815	0.999
EIF2B3	RPL8	9606.ENSP00000353575	9606.ENSP00000262584	0	0	0	0	0.093	0	0	0.499	0.526
EIF2B3	EIF2B2	9606.ENSP00000353575	9606.ENSP00000266126	0	0	0	0	0.163	0.995	0.900	0.940	0.999
EIF2B3	EIF2B5	9606.ENSP00000353575	9606.ENSP00000273783	0	0	0	0.558	0.282	0.995	0.900	0.990	0.999
EIF2B3	EIF4A1	9606.ENSP00000353575	9606.ENSP00000293831	0	0	0	0	0.095	0.078	0	0.488	0.535
EIF2B3	EIF4A2	9606.ENSP00000353575	9606.ENSP00000326381	0	0	0	0	0.070	0.078	0	0.474	0.510
EIF2B3	EIF3C	9606.ENSP00000353575	9606.ENSP00000332604	0	0	0	0	0.145	0.411	0	0.443	0.695
EIF2B3	EIF4G1	9606.ENSP00000353575	9606.ENSP00000416255	0	0	0	0	0.066	0	0	0.404	0.420
EIF2B3	EIF3L	9606.ENSP00000353575	9606.ENSP00000485663	0	0	0	0	0.213	0	0	0.297	0.423
EIF2B3	EIF3CL	9606.ENSP00000353575	9606.ENSP00000370258	0	0	0	0	0.128	0	0	0.376	0.433
EIF2B3	EIF3M	9606.ENSP00000353575	9606.ENSP00000436049	0	0	0	0	0.300	0	0	0.271	0.468
EIF2B3	EIF3I	9606.ENSP00000353575	9606.ENSP00000362688	0	0	0	0	0.144	0	0	0.507	0.559
EIF2B3	EIF3F	9606.ENSP00000353575	9606.ENSP00000431800	0	0	0	0	0.472	0.145	0	0.368	0.689
EIF2B3	EIF3B	9606.ENSP00000353575	9606.ENSP00000354125	0	0	0	0	0.151	0	0	0.655	0.695
EIF2B3	EIF2S3L	9606.ENSP00000353575	9606.ENSP00000445077	0	0	0	0	0.202	0.788	0	0.535	0.914
EIF2B3	EIF2S2	9606.ENSP00000353575	9606.ENSP00000364119	0	0	0	0	0.194	0.987	0.600	0.852	0.999
EIF2B5	EIF3D	9606.ENSP00000273783	9606.ENSP00000216190	0	0	0	0	0.191	0.169	0	0.217	0.428
EIF2B5	EIF5	9606.ENSP00000273783	9606.ENSP00000216554	0	0	0	0	0.091	0.380	0	0.854	0.910
EIF2B5	EIF3E	9606.ENSP00000273783	9606.ENSP00000220849	0	0	0	0	0.085	0	0	0.461	0.486
EIF2B5	EIF3K	9606.ENSP00000273783	9606.ENSP00000248342	0	0	0	0	0.093	0.484	0	0.210	0.598
EIF2B5	EIF2S3	9606.ENSP00000273783	9606.ENSP00000253039	0	0	0	0	0.223	0.953	0.900	0.976	0.999
EIF2B5	EIF3G	9606.ENSP00000273783	9606.ENSP00000253108	0	0	0	0	0.066	0	0	0.528	0.541
EIF2B5	EIF2S1	9606.ENSP00000273783	9606.ENSP00000256383	0	0	0	0	0.182	0.984	0.900	0.892	0.999
EIF2B5	EIF3J	9606.ENSP00000273783	9606.ENSP00000261868	0	0	0	0	0.082	0	0	0.443	0.467
EIF2B5	EIF2B2	9606.ENSP00000273783	9606.ENSP00000266126	0	0	0	0	0.168	0.995	0.900	0.963	0.999
EIF2B5	EIF4A1	9606.ENSP00000273783	9606.ENSP00000293831	0	0	0	0	0.066	0.078	0	0.368	0.408
EIF2B5	EIF4A2	9606.ENSP00000273783	9606.ENSP00000326381	0	0	0	0	0.066	0.078	0	0.369	0.409
EIF2B5	EIF4EBP1	9606.ENSP00000273783	9606.ENSP00000340691	0	0	0	0	0.063	0	0	0.462	0.474
EIF2B5	EIF3CL	9606.ENSP00000273783	9606.ENSP00000370258	0	0	0	0	0.146	0	0	0.413	0.477
EIF2B5	EIF3L	9606.ENSP00000273783	9606.ENSP00000485663	0	0	0	0	0.091	0.297	0	0.264	0.489
EIF2B5	EIF3F	9606.ENSP00000273783	9606.ENSP00000431800	0	0	0	0	0.186	0.145	0	0.396	0.543
EIF2B5	EIF3M	9606.ENSP00000273783	9606.ENSP00000436049	0	0	0	0	0.120	0	0	0.539	0.577
EIF2B5	EIF3C	9606.ENSP00000273783	9606.ENSP00000332604	0	0	0	0	0.162	0	0	0.549	0.606
EIF2B5	EIF3B	9606.ENSP00000273783	9606.ENSP00000354125	0	0	0	0	0.126	0	0	0.652	0.683
EIF2B5	EIF4G1	9606.ENSP00000273783	9606.ENSP00000416255	0	0	0	0	0.163	0	0	0.661	0.704
EIF2B5	EIF3I	9606.ENSP00000273783	9606.ENSP00000362688	0	0	0	0	0.087	0.272	0	0.593	0.706
EIF2B5	EIF2S3L	9606.ENSP00000273783	9606.ENSP00000445077	0	0	0	0	0.223	0.779	0	0.539	0.913
EIF2B5	EIF2B3	9606.ENSP00000273783	9606.ENSP00000353575	0	0	0	0.558	0.282	0.995	0.900	0.990	0.999
EIF2B5	EIF2S2	9606.ENSP00000273783	9606.ENSP00000364119	0	0	0	0	0.126	0.988	0.900	0.936	0.999
EIF2D	EIF3D	9606.ENSP00000271764	9606.ENSP00000216190	0	0	0	0	0.078	0	0	0.498	0.518
EIF2D	EIF5	9606.ENSP00000271764	9606.ENSP00000216554	0	0	0	0	0.103	0	0	0.639	0.663
EIF2D	RPS12	9606.ENSP00000271764	9606.ENSP00000230050	0	0	0	0	0.073	0.803	0	0	0.810
EIF2D	RPS16	9606.ENSP00000271764	9606.ENSP00000251453	0	0	0	0	0.116	0.800	0	0.203	0.847
EIF2D	DHX29	9606.ENSP00000271764	9606.ENSP00000251636	0	0	0	0	0.062	0.056	0	0.713	0.724
EIF2D	EIF2S3	9606.ENSP00000271764	9606.ENSP00000253039	0	0	0	0	0.154	0	0	0.383	0.456
EIF2D	EIF3G	9606.ENSP00000271764	9606.ENSP00000253108	0	0	0	0	0.132	0	0	0.506	0.553
EIF2D	EIF2S1	9606.ENSP00000271764	9606.ENSP00000256383	0	0	0	0	0.147	0	0	0.417	0.482
EIF2D	EIF3J	9606.ENSP00000271764	9606.ENSP00000261868	0	0	0	0	0.094	0	0	0.649	0.669
EIF2D	RPS11	9606.ENSP00000271764	9606.ENSP00000270625	0	0	0	0	0.070	0.813	0	0	0.819
EIF2D	EIF3A	9606.ENSP00000271764	9606.ENSP00000358140	0	0	0	0	0.129	0	0	0.346	0.407
EIF2D	MCTS1	9606.ENSP00000271764	9606.ENSP00000360365	0	0	0	0.684	0.199	0.058	0	0.849	0.422
EIF2D	EIF3C	9606.ENSP00000271764	9606.ENSP00000332604	0	0	0	0	0.088	0	0	0.441	0.468
EIF2D	ETF1	9606.ENSP00000271764	9606.ENSP00000353741	0	0	0	0	0.119	0	0	0.423	0.470
EIF2D	EIF3B	9606.ENSP00000271764	9606.ENSP00000354125	0	0	0	0	0.137	0	0	0.508	0.557
EIF2D	EIF4G1	9606.ENSP00000271764	9606.ENSP00000416255	0	0	0	0	0.063	0	0	0.548	0.558
EIF2D	EIF4A2	9606.ENSP00000271764	9606.ENSP00000326381	0	0	0	0	0	0.152	0	0.614	0.658
EIF2D	EIF4A1	9606.ENSP00000271764	9606.ENSP00000293831	0	0	0	0	0.068	0.152	0	0.617	0.671
EIF2D	RPS29	9606.ENSP00000271764	9606.ENSP00000379339	0	0	0	0	0.070	0.800	0	0	0.806
EIF2D	RPS27A	9606.ENSP00000271764	9606.ENSP00000272317	0	0	0	0	0.099	0.803	0	0	0.815
EIF2D	RPS21	9606.ENSP00000271764	9606.ENSP00000345957	0	0	0	0	0.090	0.807	0	0	0.817
EIF2D	RPS28	9606.ENSP00000271764	9606.ENSP00000472469	0	0	0	0	0.095	0.822	0	0	0.832
EIF2D	RPS26	9606.ENSP00000271764	9606.ENSP00000348849	0	0	0	0	0.101	0.800	0	0.158	0.835
EIF2D	RPSA	9606.ENSP00000271764	9606.ENSP00000346067	0	0	0	0	0.107	0.804	0	0.138	0.836
EIF2D	RPS23	9606.ENSP00000271764	9606.ENSP00000296674	0	0	0	0	0.082	0.803	0	0.186	0.840
EIF2D	DENR	9606.ENSP00000271764	9606.ENSP00000280557	0	0	0	0	0.208	0.520	0	0.907	0.961
EIF2S1	EIF3D	9606.ENSP00000256383	9606.ENSP00000216190	0	0	0	0	0.789	0.822	0.600	0.551	0.992
EIF2S1	EIF5	9606.ENSP00000256383	9606.ENSP00000216554	0	0	0	0	0.513	0.946	0.900	0.845	0.999
EIF2S1	EIF3E	9606.ENSP00000256383	9606.ENSP00000220849	0	0	0	0	0.743	0.822	0.600	0.489	0.989
EIF2S1	RPL18A	9606.ENSP00000256383	9606.ENSP00000222247	0	0	0	0	0.886	0	0	0.127	0.896
