"ENTREZ","symbol_name","ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"105373218","LOC105373218",NA,-41.6666666666667,91.5,-2.38814390565726,0.065735624381228,0.213317092319958,-4.54892189893259
"29780","PARVB","ENSG00000188677",401,477.5,2.38752394458651,0.0657843791030574,0.213423830558692,-4.54893811114687
"100506023","LOC100506023",NA,-95.3333333333333,123.333333333333,-2.38747418765299,0.0657882937824665,0.213423830558692,-4.54893941252282
"283635","FAM177A1","ENSG00000151327",35.3333333333333,209,2.3871732380849,0.0658119767433791,0.213468574399211,-4.54894728443434
"10171","RCL1","ENSG00000120158",110.666666666667,260.333333333333,2.38696595078558,0.0658282944611133,0.213489418385306,-4.54895270710512
"25874","MPC2","ENSG00000143158",179.333333333333,366.666666666667,2.38653519502119,0.0658622178453767,0.213567344915379,-4.54896397750985
"284306","ZNF547","ENSG00000152433",21.6666666666667,35.5,2.38629715530101,0.0658809724360606,0.213580750249765,-4.54897020666257
"5253","PHF2","ENSG00000197724",603.666666666667,1236.5,2.38623153541813,0.0658861435001128,0.213580750249765,-4.54897192396702
"3673","ITGA2","ENSG00000164171",39.6666666666667,124.833333333333,2.38535368136405,0.0659553640390098,0.213773032295232,-4.54899490314532
"374868","ATP9B","ENSG00000166377",-339,1647.83333333333,-2.38462904343606,0.0660125631399707,0.213894449241656,-4.54901387909932
"51650","MRPS33","ENSG00000090263",98,195.333333333333,2.38461192181801,0.0660139152865431,0.213894449241656,-4.54901432754125
"1639","DCTN1","ENSG00000204843",955.333333333334,2258,2.38449538391813,0.0660231194462854,0.213894449241656,-4.54901737995081
"85440","DOCK7","ENSG00000116641",159.333333333333,462,2.3842332044601,0.0660438315052436,0.213894449241656,-4.5490242477017
"54867","TMEM214","ENSG00000119777",351.333333333333,771,2.38417172979874,0.0660486890046344,0.213894449241656,-4.54902585814863
"51258","MRPL51","ENSG00000111639",102,198.333333333333,2.38410906785672,0.0660536407208409,0.213894449241656,-4.54902749974853
"8019","BRD3","ENSG00000169925",659.333333333333,1078.33333333333,2.38389952515452,0.0660702023025984,0.213894449241656,-4.5490329896549
"644997","PIK3CD-AS1","ENSG00000179840",-194,291.333333333333,-2.38387437030736,0.0660721907663046,0.213894449241656,-4.54903364873625
"9766","SUSD6","ENSG00000100647",1079.66666666667,2199.83333333333,2.38375006817429,0.0660820176779579,0.213894449241656,-4.54903690569161
"10302","SNAPC5","ENSG00000174446",112.666666666667,412.333333333333,2.38341150635535,0.0661087913553438,0.213949024414813,-4.54904577766831
"105371059","LOC105371059",NA,22.3333333333333,42.5,2.38310284194469,0.0661332110700446,0.213995966195618,-4.54905386746758
"100533970","P2RX5-TAX1BP3","ENSG00000257950",329,512.5,2.38267483541333,0.0661670887637873,0.214054332611387,-4.54906508713173
"55588","MED29","ENSG00000063322",543,1079.16666666667,2.38262437519648,0.0661710840561169,0.214054332611387,-4.549066410039
"50618","ITSN2","ENSG00000198399",1334,5179,2.38203054653012,0.0662181215064294,0.214159627644429,-4.54908198080208
"7108","TM7SF2","ENSG00000149809",65.3333333333333,131,2.38196293516178,0.0662234793540712,0.214159627644429,-4.5490837539245
"8462","KLF11","ENSG00000172059",725,944.5,2.38121652318836,0.0662826601307099,0.214296912187548,-4.54910333263357
"6834","SURF1","ENSG00000148290",80,271.333333333333,2.38113892429225,0.0662888160347621,0.214296912187548,-4.54910536849636
"100423021","MIR4298","ENSG00000264493",-28,33.3333333333333,-2.38105192958481,0.0662957180501441,0.214296912187548,-4.54910765095687
"107984345","SMIM38","ENSG00000284713",20.3333333333333,17.1666666666667,2.38000035034275,0.0663792108100621,0.21453466710296,-4.54913524868555
"752","FMNL1","ENSG00000184922",3178.33333333333,6373.16666666667,2.37977604722999,0.0663970347951483,0.214560144031095,-4.54914113715034
"25906","ANAPC15","ENSG00000110200",136.333333333333,201.166666666667,2.37881826375923,0.0664732028645538,0.214769235302496,-4.54916628840126
"3737","KCNA2","ENSG00000177301",28.3333333333333,87.1666666666667,2.37871222944018,0.0664816411553527,0.214769235302496,-4.54916907357056
