"ENTREZ","symbol_name","ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"648","BMI1","ENSG00000168283",541.631590668529,0.238218885319012,0.236051943258521,1.0091799373925,0.312888346548784,0.581669021969577
"114803","MYSM1","ENSG00000162601",2885.24019439483,0.209861945296227,0.207957660435495,1.00915707965143,0.312899306939672,0.581669021969577
"440519","ZNF724","ENSG00000196081",115.570481282305,0.4010143650471,0.397578274896417,1.00864255007791,0.313146093112109,0.582027439395752
"5965","RECQL","ENSG00000004700",1085.60083322017,0.239309163191955,0.237347121086991,1.00826655110026,0.313326516236165,0.582182141350821
"5428","POLG","ENSG00000140521",1467.26621572563,-0.17608046966629,0.174911529380101,-1.0066830373637,0.314087116132472,0.583123079834751
"55888","ZKSCAN7","ENSG00000196345",132.237121081418,-0.308165887913366,0.306204561867081,-1.00640528029473,0.314220654649673,0.583270568723901
"284695","ZNF326","ENSG00000162664",1205.92450103111,0.261400276759413,0.260294432953425,1.00424843433431,0.31525888175852,0.584244980638623
"220988","HNRNPA3","ENSG00000170144",5833.36506995433,0.166711700033044,0.165993633794696,1.00432586613072,0.315221569951825,0.584244980638623
"121268","RHEBL1","ENSG00000167550",15.8564236811439,-1.14903549965196,1.14748460358327,-1.00135156154936,0.316656873220544,0.585489691759149
"22891","ZNF365","ENSG00000138311",129.062377378155,-0.430471390774234,0.431771648266261,-0.996988552867592,0.318770066336008,0.587552661982705
"9849","ZNF518A","ENSG00000177853",2170.93907926975,-0.164431237184919,0.165114758490363,-0.995860325801926,0.319318014409729,0.58797486659819
"6911","TBX6","ENSG00000149922",22.8711645108518,0.807248344275626,0.812785837327906,0.993187020740316,0.320618822310344,0.58937384411565
"4350","MPG","ENSG00000103152",189.622350427709,0.394520637610634,0.397774536679041,0.991819740158398,0.321285466353834,0.590063639957582
"10308","ZNF267","ENSG00000185947",1023.84552873805,0.264569172922197,0.266998634828981,0.990900845210912,0.321733999613293,0.59042271717105
"11063","SOX30","ENSG00000039600",13.8605092364957,0.991768215316935,1.00131504029058,0.990465712997906,0.321946539971289,0.590688656911882
"387264","KRTAP5-1","ENSG00000205869",14.9691998315731,-1.14372150078247,1.1550828414964,-0.990164046849484,0.322093942598558,0.590765822760509
"284443","ZNF493","ENSG00000196268",670.24200067829,-0.221002471933181,0.223293587693276,-0.989739446690954,0.322301488876155,0.59098299275037
"23144","ZC3H3","ENSG00000014164",586.711321598811,-0.24146223661223,0.244268706185684,-0.988510728135103,0.322902582983873,0.591068214498153
"9681","DEPDC5","ENSG00000100150",1125.89208273624,-0.162110200371993,0.16419342443581,-0.9873123782455,0.3234895242898,0.591586858237083
"51123","ZNF706","ENSG00000120963",742.987057334657,0.194353811760595,0.197681598178477,0.983165927185201,0.325525781322191,0.593978502998116
"2077","ERF","ENSG00000105722",353.733207570221,0.426442721827028,0.434047667517464,0.982479008045517,0.325863919705562,0.59439431268235
"57761","TRIB3","ENSG00000101255",101.342587361822,0.443998909576495,0.452182529013866,0.981901955709749,0.326148152198723,0.594768788012055
"10274","STAG1","ENSG00000118007",1776.51225449322,-0.187547973467853,0.191200696257543,-0.980895870877115,0.326644093911905,0.595132940341526
"6047","RNF4","ENSG00000063978",1766.58728472705,0.183973277842763,0.187560698504498,0.98087328160783,0.326655234737632,0.595132940341526
"9181","ARHGEF2","ENSG00000116584",4083.67125682023,0.16222841366628,0.165403175704488,0.980805918479584,0.326688459096124,0.595143189317294
"23635","SSBP2","ENSG00000145687",966.561790364067,0.182757039895583,0.186483122032203,0.980019199078097,0.327076641715171,0.595598775708998
"50488","MINK1","ENSG00000141503",2366.3881133642,0.209262048279465,0.213742959515494,0.979035982068429,0.327562200981861,0.596130585025981
"9819","TSC22D2","ENSG00000196428",1374.91002517713,-0.159145365676837,0.162937262896654,-0.976727869657282,0.328703893880443,0.597199262514463
"619279","ZNF704","ENSG00000164684",27.3826033016825,0.663827791877741,0.68181947102265,0.973612253815626,0.330249099730165,0.598696224176653
"5080","PAX6","ENSG00000007372",43.4452455280987,-0.505441984291867,0.519360817034021,-0.973200071538624,0.330453875288021,0.598795503972866
"7421","VDR","ENSG00000111424",309.141564224074,0.296273415284426,0.304976985356539,0.971461551231684,0.331318490588956,0.599626683261455
"84911","ZNF382","ENSG00000161298",181.887372738164,-0.305090098714154,0.314176266756792,-0.97107939394521,0.331508744156817,0.599699261434031
"1385","CREB1","ENSG00000118260",3003.42784831311,-0.172565821734333,0.177664894375721,-0.971299492455695,0.331399161469346,0.599699261434031
"1316","KLF6","ENSG00000067082",7515.48012243365,-0.263592473374745,0.27199337537662,-0.969113578629471,0.332488523512169,0.600735862674187
"51444","RNF138","ENSG00000134758",1033.07709411922,0.206561617732099,0.213167086133191,0.969012718985311,0.33253884322184,0.600776442295221
"150684","COMMD1","ENSG00000173163",539.202648943461,-0.190219280828228,0.196461660850941,-0.968225963296474,0.332931530945008,0.600961724027812
"26145","IRF2BP1","ENSG00000170604",269.477333192128,0.282941958488412,0.293055650764719,0.9654888337764,0.33430002617416,0.602374399972729
"116092","DNTTIP1","ENSG00000101457",257.667352980647,0.330958157995303,0.343456660115868,0.963609667326444,0.335241658219813,0.603144063280369
"57169","ZNFX1","ENSG00000124201",3383.5447148504,0.134638113554083,0.139696421322467,0.963790713316073,0.335150863538851,0.603144063280369
