"altName","AverageShortestPathLength","baseMean","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ensembl_id","IsSingleNode","lfcSE","log2FoldChange","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","NeighborhoodConnectivity","nodeAttr[nodesPresent, ]","NumberOfDirectedEdges","NumberOfUndirectedEdges","padj","PartnerOfMultiEdgedNodePairs","pvalue","Radiality","selected","SelfLoops","shared name","stat","Stress","symbol_name","TopologicalCoefficient"
,"1.8666666666666667","1111.8261302046","0.004878172045085087","0.5357142857142857","0.06848994857410004","93","4","ENSG00000060138","false","0.218827658935625","1.16933871375116","Cluster 8","Clustered","3.715099715099715","8531","52.494623655913976","blue","0","93","7.01043658892988E-6","0","9.10927046681582E-8","0.9955094991364422","false","0","8531","5.34365134388776","89500","YBX3","0.28159324777430916"
,"1.5333333333333334","1866.62095885528","0.010850879509333571","0.6521739130434783","0.12090217676370311","124","3","ENSG00000123349","false","0.173659258095088","0.909196131188777","Cluster 1","Clustered","8.948863636363637","5204","51.21774193548387","blue","0","124","1.14413088630432E-5","0","1.64522996538935E-7","0.9972366148531951","true","0","5204","5.2355177671607","150042","PFDN5","0.20487096774193547"
,"1.811764705882353","666.291870612458","0.0010468513716555567","0.551948051948052","0.26995645863570394","53","3","NA","false","0.218349998179345","1.03521190086304","Cluster 4","Clustered","6.601307189542483","112268097","72.50943396226415","blue","0","53","9.55087279290249E-5","0","2.12595944193712E-6","0.9957939652544956","true","0","112268097","4.74106667961934","24170","MYG1-AS1","0.2900377358490566"
,"1.6509803921568627","5702.69193760416","0.015575471748095282","0.6057007125890737","0.14342686227033186","119","3","ENSG00000185591","false","0.142849201704296","0.710934607125976","Cluster 1","Clustered","10.27027027027027","6667","48.67226890756302","blue","0","119","3.56482944978065E-5","0","6.46377441506322E-7","0.9966270446002234","false","0","6667","4.97681890163896","139974","SP1","0.2270085604335192"
,"1.4509803921568627","252.310781475116","0.04375866293856361","0.6891891891891893","0.11746894409937889","161","3","ENSG00000111328","false","0.260218889012162","1.2673586055993","Cluster 1","Clustered","9.178191489361701","8099","44.78260869565217","blue","0","161","5.71946119455451E-5","0","1.11397407795998E-6","0.9976633140302754","false","0","8099","4.87035591616898","288816","CDK2AP1","0.19964507542147295"
,"1.5098039215686274","566.448593050245","0.011650870306461678","0.6623376623376623","0.17478197674418605","129","3","ENSG00000150977","false","0.209816194911321","0.84000719024982","Cluster 2","Clustered","12.398717948717948","196383","54.63565891472868","blue","0","129","0.00145703277404969","0","6.2402070533216E-5","0.9973585289037895","true","0","196383","4.00353838560865","158132","RILPL2","0.21767194786744495"
,"2.2549019607843137","1069.58865986679","8.539118983983038E-4","0.4434782608695652","0.002564102564102564","40","4","ENSG00000186184","false","0.188272084541109","0.877527135827007",,"Unclustered","1.2","51082","59.525","blue","0","40","1.31281896935808E-4","0","3.14750235187409E-6","0.9934979173016357","false","0","51082","4.66095193010623","19008","POLR1D","0.5053879310344828"
,"2.0274509803921568","7853.74520573766","0.003946502787028712","0.4932301740812379","0.03729071537290715","73","4","ENSG00000136156","false","0.166593738883094","0.784439469679644","Cluster 9","Clustered","3.2","9445","51.63013698630137","blue","0","73","1.08461298555611E-4","0","2.49305115135513E-6","0.9946764197907142","false","0","9445","4.70869718717412","63484","ITM2B","0.3578886866558099"
,"1.6901960784313725","1035.95974135337","0.0018100770355009004","0.5916473317865429","0.43571213489912675","82","3","ENSG00000165502","false","0.222011721943708","1.05302018627628","Cluster 3","Clustered","15.199829931972788","6166","79.51219512195122","blue","0","82","9.47596969227772E-5","0","2.10489217334494E-6","0.9964238545158997","true","0","6166","4.74308373025131","41258","RPL36AL","0.3155245838172667"
,"1.9137254901960785","556.032988417991","0.00467207408574449","0.5225409836065573","0.07374847374847375","91","4","ENSG00000131981","false","0.239479942959591","1.15092294339913","Cluster 7","Clustered","4.766798418972332","3958","52.26373626373626","blue","0","91","7.43097757016323E-5","0","1.54036680294146E-6","0.9952656710352535","false","0","3958","4.80592624658063","83644","LGALS3","0.30290058778430873"
,"1.5960784313725491","2635.40425212825","0.006138645251394134","0.6265356265356264","0.19747317410868812","108","3","ENSG00000108953","false","0.167620870065899","0.66625091831317","Cluster 2","Clustered","10.736842105263158","7531","57.75","blue","0","108","0.00160184736199536","0","7.04534607794221E-5","0.996911510718277","true","0","7531","3.97474919472281","102288","YWHAE","0.231"
,"2.1254901960784314","293.892802656172","0.0017640572801947275","0.470479704797048","0.030391583869082407","59","4","ENSG00000161944","false","0.245903541132881","1.04029947779871","Cluster 9","Clustered","2.692307692307692","433","57.3728813559322","blue","0","59","6.75768446379094E-4","0","2.33153275879265E-5","0.9941684445799045","false","0","433","4.23051849113694","36748","ASGR2","0.4367666232073012"
,"1.796078431372549","3337.97236414233","0.0013897153912553965","0.5567685589519651","0.17857142857142858","57","3","ENSG00000170296","false","0.208568869271584","1.07923824866712","Cluster 5","Clustered","5.294117647058823","11337","67.73684210526316","blue","0","57","1.51166366792945E-5","0","2.28530122308013E-7","0.9958752412882252","true","0","11337","5.17449345358348","32162","GABARAP","0.27094736842105266"
